TeckRank_int,rank_CB_normlized,name
754.0,5499.0,CloudCheckr
755.0,72.0,Nebulon
756.0,9944.0,SolarWinds
757.0,5201.0,Cleanshelf
758.0,8149.0,BMC Software
759.0,3998.0,EdgeQ
760.0,1522.0,Accelo
761.0,5213.0,FullContact
762.0,9432.0,PagerDuty
763.0,4302.0,WeTransfer
764.0,4247.0,Temporal Technologies
765.0,74.0,Donuts
766.0,6621.0,Platform9
767.0,6623.0,Apigee
768.0,8775.0,Hallow
769.0,8026.0,Instabase
770.0,5399.0,Cradlepoint
771.0,5221.0,Marketspark
772.0,3480.0,DC BLOX
773.0,5994.0,AST SpaceMobile
774.0,7278.0,Innovium
775.0,1804.0,Aqua Comms
776.0,1366.0,1QBit
777.0,7896.0,Quantum Computing
778.0,414.0,Q-CTRL
779.0,4352.0,Rookout
780.0,5246.0,Jellyfish
781.0,7160.0,Nanox Imaging
782.0,8571.0,Thinknum
783.0,6097.0,Cube
784.0,4963.0,Flinks
785.0,665.0,FactSet
786.0,7949.0,Insurity
787.0,1161.0,Moment House
788.0,2884.0,Cirque du Soleil
789.0,5664.0,Prospa
790.0,7151.0,Financepeer
791.0,3911.0,Argo Blockchain
792.0,8738.0,Lendify
793.0,9446.0,Northern Arc
794.0,6124.0,Capital Float
795.0,479.0,Beehive
796.0,5818.0,RateSetter
797.0,9957.0,Next Insurance
798.0,1839.0,Spotcap
799.0,9538.0,SoLo Funds
800.0,4814.0,ZipLoan
801.0,9583.0,Zopa
802.0,1885.0,Zilliqa
803.0,8239.0,Liquity
804.0,2923.0,Kuvera.in
805.0,1403.0,Klaytn
806.0,5502.0,ALAMI
807.0,8822.0,iwoca
808.0,8122.0,Newfront Insurance
809.0,6443.0,Bankly
810.0,5906.0,tZERO
811.0,9482.0,Pie Insurance
812.0,6030.0,TRGC
813.0,1488.0,FundThrough
814.0,9161.0,BlueVine
815.0,6658.0,Aye Finance
816.0,685.0,Trim
817.0,2406.0,Symbiont
818.0,6386.0,Uniswap
819.0,5943.0,Celer Network
820.0,8900.0,Drip Capital
821.0,5580.0,AlphaCredit
822.0,5556.0,OKCoin
823.0,8034.0,Elrond
824.0,7589.0,Lendio
825.0,8742.0,Kyligence
826.0,8744.0,AppDynamics
827.0,8795.0,Talend
828.0,8810.0,Starburst Data
829.0,1191.0,import.io
830.0,8677.0,Rivery.io
831.0,1076.0,Datadog
832.0,9029.0,Domo
833.0,8707.0,Rockset
834.0,1113.0,Magnitude Software
835.0,3566.0,Katana Graph
836.0,9539.0,OutSystems
837.0,410.0,Pyramid Analytics
