initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
230,Elektrobit,0,3.636,118300.0,4.33424722851353,67348.0,252.0
468,Smartpipe Solutions,0,3.637,31469.0,4.335439265705091,154179.0,253.0
61,Botlink,0,3.647,49100.0,4.347359637620694,136548.0,254.0
447,Marknum Technology,0,3.647,77441.0,4.347359637620694,108207.0,255.0
262,EfficientIP,0,3.65,19675.0,4.350935749195376,165973.0,256.0
304,Magal Security Systems,0,3.652,184655.0,4.353319823578496,993.0,257.0
420,Armor,0,3.652,6953.0,4.353319823578496,178695.0,258.0
370,Kymera Labs,0,3.654,63345.0,4.355703897961616,122303.0,259.0
369,eSecure Systems,0,3.654,159759.0,4.355703897961616,25889.0,260.0
75,Apton Biosystems,0,3.658,32524.0,4.360472046727858,153124.0,261.0
320,ArmorText,0,3.667,37221.0,4.371200381451901,148427.0,262.0
88,"Mercury Systems, Inc.",0,3.673,116946.0,4.378352604601264,68702.0,263.0
64,Eventador,0,3.681,85630.0,4.387888902133747,100018.0,264.0
150,Funnysafe,0,3.686,122777.0,4.393849088091549,62871.0,265.0
288,OneSpin Solutions,0,3.699,54486.0,4.4093455715818335,131162.0,266.0
353,Fluree,0,3.701,8650.0,4.411729645964955,176998.0,267.0
412,SIKUR,0,3.703,33375.0,4.414113720348075,152273.0,268.0
123,QinetiQ,0,3.705,94310.0,4.416497794731196,91338.0,269.0
151,Team Cymru,0,3.708,114922.0,4.420073906305878,70726.0,270.0
282,SNUPI Technologies,0,3.708,42045.0,4.420073906305878,143603.0,271.0
438,CloudFuze,0,3.712,139706.0,4.424842055072119,45942.0,272.0
252,AURA,0,3.715,43027.0,4.4284181666468,142621.0,273.0
307,PAS,0,3.719,12361.0,4.4331863154130415,173287.0,274.0
71,Avancargo,0,3.72,53770.0,4.434378352604602,131878.0,275.0
402,Gospel Technology,0,3.723,29868.0,4.437954464179283,155780.0,276.0
134,BioCule,0,3.727,92001.0,4.4427226129455235,93647.0,277.0
376,Culture Shift,0,3.737,50504.0,4.4546429848611275,135144.0,278.0
378,Yantriks,0,3.737,147686.0,4.4546429848611275,37962.0,279.0
375,Gresham Technologies plc,0,3.737,130563.0,4.4546429848611275,55085.0,280.0
377,vChain,0,3.737,15265.0,4.4546429848611275,170383.0,281.0
427,MeWe,0,3.737,5701.0,4.4546429848611275,179947.0,282.0
465,KeepItSafe,0,3.752,46467.0,4.472523542734534,139181.0,283.0
112,Front Range Biosciences,0,3.759,13317.0,4.480867803075456,172331.0,284.0
385,Excess Materials Exchange,0,3.768,157674.0,4.491596137799499,27974.0,285.0
416,Covr Security AB,0,3.785,36844.0,4.5118607700560265,148804.0,286.0
24,Rajant Corporation,0,3.787,146515.0,4.514244844439147,39133.0,287.0
227,Redwall Technologies,0,3.79,144873.0,4.5178209560138285,40775.0,288.0
104,Appmobi,0,3.79,61441.0,4.5178209560138285,124207.0,289.0
131,Leonardo,0,3.795,39694.0,4.5237811419716305,145954.0,290.0
159,ZK MedTech (UVIIVA),0,3.8,146868.0,4.529741327929432,38780.0,291.0
192,Contidio,0,3.805,118320.0,4.535701513887234,67328.0,292.0
113,G4S,0,3.817,988.0,4.550005960185958,184660.0,293.0
138,HackEDU,0,3.853,136355.0,4.592919299082132,49293.0,294.0
332,Clusterk,0,3.87,72167.0,4.613183931338658,113481.0,295.0
424,VitAlerter,0,3.875,178724.0,4.61914411729646,6924.0,296.0
439,Homies,0,3.877,104617.0,4.62152819167958,81031.0,297.0
126,SpectraRep,0,3.879,111792.0,4.6239122660627014,73856.0,298.0
319,ScaleArc,0,3.88,30573.0,4.625104303254261,155075.0,299.0
152,STAQ Pharma,0,3.89,26022.0,4.637024675169866,159626.0,300.0
116,Social Sentinel,0,3.89,40680.0,4.637024675169866,144968.0,301.0
53,Zerve,0,3.894,27147.0,4.6417928239361075,158501.0,302.0
440,IDSS Holdings,0,3.897,42736.0,4.645368935510788,142912.0,303.0
405,Detection Instruments,0,3.899,80313.0,4.6477530098939095,105335.0,304.0
397,Stampery,0,3.899,48306.0,4.6477530098939095,137342.0,305.0
394,The O'Gara Group,0,3.913,48293.0,4.664441530575754,137355.0,306.0
388,Verge Currency,0,3.914,144973.0,4.665633567767315,40675.0,307.0
190,uConektPay,0,3.915,117041.0,4.666825604958875,68607.0,308.0
399,Bsociable,0,3.918,117643.0,4.670401716533556,68005.0,309.0
311,CarteNav Solutions,0,3.919,91387.0,4.671593753725117,94261.0,310.0
156,ContentWatch,0,3.919,60542.0,4.671593753725117,125106.0,311.0
354,Overhaul,0,3.922,10989.0,4.675169865299798,174659.0,312.0
74,OneMedNet,0,3.93,67276.0,4.684706162832281,118372.0,313.0
30,BlackJet,0,3.93,67954.0,4.684706162832281,117694.0,314.0
